phase_harmonic_01	phase_harmonic_02	phase_harmonic_03	phase_harmonic_04	phase_harmonic_05	phase_harmonic_06	phase_harmonic_07	phase_harmonic_08	phase_harmonic_09	phase_harmonic_10	phase_harmonic_11	phase_harmonic_12	phase_harmonic_13	phase_harmonic_14	phase_harmonic_15	phase_harmonic_16	phase_svd_01	phase_svd_02	phase_svd_03	phase_svd_04	phase_svd_05
0.8738894313	-0.8738894313	0.8738894313	-0.8738894313	-0.8738894313	0.8738894313	-0.8738894313	0.8738894313	-0.8738894313	0.8738894313	-0.8738894313	0.8738894313	-0.8738894313	0.8738894313	-0.8738894313	0.8738894313	1.388622553	0.8738894313	1.539028075	2.459615795	0.05055354521
-1.629313658	1.629313658	-1.629313658	1.629313658	1.629313658	-1.629313658	1.629313658	-1.629313658	1.629313658	-1.629313658	1.629313658	-1.629313658	1.629313658	-1.629313658	1.629313658	-1.629313658	0.5923180716	-1.629313658	1.980516637	2.442551518	0.1928765481
-0.2308799205	0.2308799205	-0.2308799205	0.2308799205	0.2308799205	-0.2308799205	0.2308799205	-0.2308799205	0.2308799205	-0.2308799205	0.2308799205	-0.2308799205	0.2308799205	-0.2308799205	0.2308799205	-0.2308799205	0.6683998621	-0.2308799205	1.87608318	1.522097983	0.1289632593
1.40383474	-1.40383474	1.40383474	-1.40383474	-1.40383474	1.40383474	-1.40383474	1.40383474	-1.40383474	1.40383474	-1.40383474	1.40383474	-1.40383474	1.40383474	-1.40383474	1.40383474	2.586299555	1.40383474	1.631278522	1.143630794	0.08910746549
-1.1729042	1.1729042	-1.1729042	1.1729042	1.1729042	-1.1729042	1.1729042	-1.1729042	1.1729042	-1.1729042	1.1729042	-1.1729042	1.1729042	-1.1729042	1.1729042	-1.1729042	0.106815939	-1.1729042	1.801725141	1.616454494	-0.4361304121
-0.2343388605	0.2343388605	-0.2343388605	0.2343388605	0.2343388605	-0.2343388605	0.2343388605	-0.2343388605	0.2343388605	-0.2343388605	0.2343388605	-0.2343388605	0.2343388605	-0.2343388605	0.2343388605	-0.2343388605	0.3024099487	-0.2343388605	1.887676519	0.5415837379	0.8502840436
0.2294920707	-0.2294920707	0.2294920707	-0.2294920707	-0.2294920707	0.2294920707	-0.2294920707	0.2294920707	-0.2294920707	0.2294920707	-0.2294920707	0.2294920707	-0.2294920707	0.2294920707	-0.2294920707	0.2294920707	0.6646923401	0.2294920707	1.710393684	1.043271091	0.01532266317
1.738631191	-1.738631191	1.738631191	-1.738631191	-1.738631191	1.738631191	-1.738631191	1.738631191	-1.738631191	1.738631191	-1.738631191	1.738631191	-1.738631191	1.738631191	-1.738631191	1.738631191	2.062716924	1.738631191	1.535428165	1.288500801	0.1097927444
-1.269730414	1.269730414	-1.269730414	1.269730414	1.269730414	-1.269730414	1.269730414	-1.269730414	1.269730414	-1.269730414	1.269730414	-1.269730414	1.269730414	-1.269730414	1.269730414	-1.269730414	0.4119200799	-1.269730414	1.742716989	1.071612735	-0.7574436345
-0.04128035024	0.04128035024	-0.04128035024	0.04128035024	0.04128035024	-0.04128035024	0.04128035024	-0.04128035024	0.04128035024	-0.04128035024	0.04128035024	-0.04128035024	0.04128035024	-0.04128035024	0.04128035024	-0.04128035024	0.2864665232	-0.04128035024	1.718208958	-0.3303568474	0.474402043
